sample	label	vaf_truth	site_counts_path	sample_code	mixture_fraction_A	assay	lab	input	biosample
SRR13202809	blank	0	results/interrogate/SRR13202809.tsv	Bf	0	TFS2	ST22	25ng	SAMN16786373
SRR13202798	blank	0	results/interrogate/SRR13202798.tsv	Bf	0	TFS2	ST22	25ng	SAMN16786373
SRR13202820	blank	0	results/interrogate/SRR13202820.tsv	Bf	0	TFS2	ST22	25ng	SAMN16786373
SRR13202831	blank	0	results/interrogate/SRR13202831.tsv	Bf	0	TFS2	ST22	25ng	SAMN16786373
SRR13202832	blank	0	results/interrogate/SRR13202832.tsv	Bf	0	TFS2	ST23	25ng	SAMN16786373
SRR13202833	blank	0	results/interrogate/SRR13202833.tsv	Bf	0	TFS2	ST23	25ng	SAMN16786373
SRR13202834	blank	0	results/interrogate/SRR13202834.tsv	Bf	0	TFS2	ST23	25ng	SAMN16786373
SRR13202835	blank	0	results/interrogate/SRR13202835.tsv	Bf	0	TFS2	ST23	25ng	SAMN16786373
SRR13202801	blank	0	results/interrogate/SRR13202801.tsv	Bf	0	TFS2	ST24	25ng	SAMN16786373
SRR13202802	blank	0	results/interrogate/SRR13202802.tsv	Bf	0	TFS2	ST24	25ng	SAMN16786373
SRR13202803	blank	0	results/interrogate/SRR13202803.tsv	Bf	0	TFS2	ST24	25ng	SAMN16786373
SRR13202804	blank	0	results/interrogate/SRR13202804.tsv	Bf	0	TFS2	ST24	25ng	SAMN16786373
SRR13202843	tumor	0.004	results/interrogate/SRR13202843.tsv	Ff	0.008	TFS2	ST22	100ng	SAMN17007052
SRR13202844	tumor	0.004	results/interrogate/SRR13202844.tsv	Ff	0.008	TFS2	ST22	100ng	SAMN17007052
SRR13202840	tumor	0.004	results/interrogate/SRR13202840.tsv	Ff	0.008	TFS2	ST22	100ng	SAMN17007052
SRR13202841	tumor	0.004	results/interrogate/SRR13202841.tsv	Ff	0.008	TFS2	ST22	100ng	SAMN17007052
SRR13202810	tumor	0.004	results/interrogate/SRR13202810.tsv	Ff	0.008	TFS2	ST23	100ng	SAMN17007052
SRR13202811	tumor	0.004	results/interrogate/SRR13202811.tsv	Ff	0.008	TFS2	ST23	100ng	SAMN17007052
SRR13202812	tumor	0.004	results/interrogate/SRR13202812.tsv	Ff	0.008	TFS2	ST23	100ng	SAMN17007052
SRR13202813	tumor	0.004	results/interrogate/SRR13202813.tsv	Ff	0.008	TFS2	ST23	100ng	SAMN17007052
SRR13202775	tumor	0.004	results/interrogate/SRR13202775.tsv	Ff	0.008	TFS2	ST24	100ng	SAMN17007052
SRR13202777	tumor	0.004	results/interrogate/SRR13202777.tsv	Ff	0.008	TFS2	ST24	100ng	SAMN17007052
SRR13202778	tumor	0.004	results/interrogate/SRR13202778.tsv	Ff	0.008	TFS2	ST24	100ng	SAMN17007052
SRR13202854	tumor	0.02	results/interrogate/SRR13202854.tsv	Ef	0.04	TFS2	ST22	25ng	SAMN16786375
SRR13202855	tumor	0.02	results/interrogate/SRR13202855.tsv	Ef	0.04	TFS2	ST22	25ng	SAMN16786375
SRR13202856	tumor	0.02	results/interrogate/SRR13202856.tsv	Ef	0.04	TFS2	ST22	25ng	SAMN16786375
